drawNumber,drawDate,drawDateFull,drawDateTime,drawName,drawSizeStr,drawSizeNum,drawCRS
321,2024-10-23,"October 23, 2024","October 23, 2024 at 14:48:28 UTC",Trade occupations (Version 1),"1,800",1800,433
320,2024-10-22,"October 22, 2024","October 22, 2024 at 14:07:18 UTC",Canadian Experience Class,400,400,539
319,2024-10-21,"October 21, 2024","October 21, 2024 at 15:12:14 UTC",Provincial Nominee Program,648,648,791
318,2024-10-10,"October 10, 2024","October 10, 2024 at 15:45:35 UTC",French language proficiency (Version 1),"1,000",1000,444
317,2024-10-09,"October 9, 2024","October 09, 2024 at 14:22:23 UTC",Canadian Experience Class,500,500,539
316,2024-10-07,"October 7, 2024","October 7, 2024 at 15:02:50 UTC",Provincial Nominee Program,"1,613",1613,743
315,2024-09-19,"September 19, 2024","September 19, 2024 at 13:12:22 UTC",Canadian Experience Class,"4,000",4000,509
314,2024-09-13,"September 13, 2024","September 13, 2024 at 13:38:58 UTC",French language proficiency (Version 1),"1,000",1000,446
313,2024-09-09,"September 9, 2024","September 09, 2024 at 15:42:40 UTC",Provincial Nominee Program,911,911,732
312,2024-08-27,"August 27, 2024","August 27, 2024 at 17:44:02 UTC",Canadian Experience Class,"3,300",3300,507
311,2024-08-26,"August 26, 2024","August 26, 2024 at 14:46:49 UTC",Provincial Nominee Program,"1,121",1121,694
310,2024-08-15,"August 15, 2024","August 15, 2024 at 2024-08-15 15:11:54 UTC",French language proficiency (Version 1),"2,000",2000,394
309,2024-08-14,"August 14, 2024","August 14, 2024 at 14:04:45 UTC",Canadian Experience Class,"3,200",3200,509
308,2024-08-13,"August 13, 2024","August 13, 2024 at 14:57:21 UTC",Provincial Nominee Program,763,763,690
307,2024-07-31,"July 31, 2024","July 31, 2024 at 14:48:13 UTC",Canadian Experience Class,"5,000",5000,510
306,2024-07-30,"July 30, 2024","July 30, 2024 at 15:25:21 UTC",Provincial Nominee Program,964,964,686
305,2024-07-18,"July 18, 2024","July 18, 2024 at 14:58:28 UTC",French language proficiency (Version 1),"1,800",1800,400
304,2024-07-17,"July 17, 2024","July 17, 2024 at 16:17:31 UTC",Canadian Experience Class,"6,300",6300,515
303,2024-07-16,"July 16, 2024","July 16, 2024 at 15:39:40 UTC",Provincial Nominee Program,"1,391",1391,670
302,2024-07-08,"July 8, 2024","July 08, 2024 at 14:01:33 UTC",French language proficiency (Version 1),"3,200",3200,420
301,2024-07-05,"July 5, 2024","July 05, 2024 at 16:03:12 UTC",Healthcare occupations (Version 1),"3,750",3750,445
300,2024-07-04,"July 4, 2024","July 4, 2024 at 13:30:48 UTC",Trade occupations (Version 1),"1,800",1800,436
299,2024-07-02,"July 2, 2024","July 2, 2024 at 15:12:05 UTC",Provincial Nominee Program,920,920,739
298,2024-06-19,"June 19, 2024","June 19, 2024 at 14:37:26 UTC",Provincial Nominee Program,"1,499",1499,663
297,2024-05-31,"May 31, 2024","May 31, 2024 at12:48:30 UTC",Canadian Experience Class,"3,000",3000,522
296,2024-05-30,"May 30, 2024","May 30, 2024 at 14:59:31 UTC",Provincial Nominee Program,"2,985",2985,676
295,2024-04-24,"April 24, 2024","April 24, 2024 at 14:10:42 UTC",French language proficiency (Version 1),"1,400",1400,410
294,2024-04-23,"April 23, 2024","April 23, 2024 at 16:54:59 UTC",General,"2,095",2095,529
293,2024-04-11,"April 11, 2024","April 11, 2024 at 13:23:42 UTC",STEM occupations (Version 1),"4,500",4500,491
292,2024-04-10,"April 10, 2024","April 10, 2024 at 13:11:33 UTC",General,"1,280",1280,549
291,2024-03-26,"March 26, 2024","March 26, 2024 at 15:59:36 UTC",French language proficiency (Version 1),"1,500",1500,388
290,2024-03-25,"March 25, 2024","March 25, 2024 at 17:45:49 UTC",General,"1,980",1980,524
289,2024-03-13,"March 13, 2024","March 13, 2024 at 16:16:01 UTC",Transport occupations (Version 1),975,975,430
288,2024-03-12,"March 12, 2024","March 12, 2024 at 14:57:26 UTC",General,"2,850",2850,525
287,2024-02-29,"February 29, 2024","February 29, 2024 at 15:58:53 UTC",French language proficiency (Version 1),"2,500",2500,336
286,2024-02-28,"February 28, 2024","February 28, 2024 at 14:57:26 UTC",General,"1,470",1470,534
285,2024-02-16,"February 16, 2024","February 16, 2024 at 15:18:05 UTC",Agriculture and agri-food occupations (Version 1),150,150,437
284,2024-02-14,"February 14, 2024","February 14, 2024 at 15:50:22 UTC",Healthcare occupations (Version 1),"3,500",3500,422
283,2024-02-13,"February 13, 2024","February 13, 2024 at 14:18:53 UTC",General,"1,490",1490,535
282,2024-02-01,"February 1, 2024","February 01, 2024 at 16:36:01 UTC",French language proficiency (Version 1),"7,000",7000,365
281,2024-01-31,"January 31, 2024","January 31, 2024 at 15:18:02 UTC",General,730,730,541
280,2024-01-23,"January 23, 2024","January 23, 2024 at 16:08:03 UTC",General,"1,040",1040,543
279,2024-01-10,"January 10, 2024","January 10, 2024 at 16:59:13 UTC",General,"1,510",1510,546
278,2023-12-21,"December 21, 2023","December 21, 2023 at 14:15:42 UTC",Agriculture and agri-food occupations (Version 1),400,400,386
277,2023-12-20,"December 20, 2023","December 20, 2023 at 15:55:23 UTC",Transport occupations (Version 1),670,670,435
276,2023-12-19,"December 19, 2023","December 19, 2023 at 14:44:00 UTC",Trade occupations (Version 1),"1,000",1000,425
275,2023-12-18,"December 18, 2023","December 18, 2023 at 16:12:22 UTC",General,"1,325",1325,542
274,2023-12-08,"December 8, 2023","December 08, 2023 at 03:02:52 UTC",STEM occupations (Version 1),"5,900",5900,481
273,2023-12-07,"December 7, 2023","December 07, 2023 at 16:35:25 UTC",French language proficiency (Version 1),"1,000",1000,470
272,2023-12-06,"December 6, 2023","December 6, 2023 at 16:27:26 UTC",General,"4,750",4750,561
271,2023-10-26,"October 26, 2023","October 26, 2023 at 13:28:39 UTC",Healthcare occupations (Version 1),"3,600",3600,431
270,2023-10-25,"October 25, 2023","October 25, 2023 at 15:48:39 AM UTC",French language proficiency (Version 1),300,300,486
269,2023-10-24,"October 24, 2023","October 24, 2023 at 14:23:38 UTC",Provincial Nominee Program,"1,548",1548,776
268,2023-10-10,"October 10, 2023","October 10, 2023 at 15:49:55 UTC",No Program Specified,"3,725",3725,500
267,2023-09-28,"September 28, 2023","September 28, 2023 at 16:45:09 UTC",Agriculture and agri-food occupations (Version 1),600,600,354
266,2023-09-27,"September 27, 2023","September 27, 2023 at 14:17:04 UTC",French language proficiency (Version 1),500,500,472
265,2023-09-26,"September 26, 2023","September 26, 2023 at 13:38:55 UTC",No Program Specified,"3,000",3000,504
264,2023-09-20,"September 20, 2023","September 20, 2023 at 14:04:14 UTC",Transport occupations (Version 1),"1,000",1000,435
263,2023-09-19,"September 19, 2023","September 19, 2023 at 15:04:11 UTC",No Program Specified,"3,200",3200,531
262,2023-08-15,"August 15, 2023","August 15, 2023 at 14:23:51 UTC",No Program Specified,"4,300",4300,496
261,2023-08-03,"August 3, 2023","August 03, 2023 at 13:24:52 UTC",Trade occupations (Version 1),"1,500",1500,388
260,2023-08-02,"August 2, 2023","August 02, 2023 at 13:50:04 UTC",French language proficiency (Version 1),800,800,435
259,2023-08-01,"August 1, 2023","August 01, 2023 at 13:25:02 UTC",No Program Specified,"2,000",2000,517
258,2023-07-12,"July 12, 2023","July 12, 2023 at 13:36:01 UTC",French language proficiency (Version 1),"3,800",3800,375
257,2023-07-11,"July 11, 2023","July 11, 2023 at 17:53:49 UTC",No Program Specified,800,800,505
256,2023-07-07,"July 7, 2023","July 07, 2023 at 13:11:16 UTC",French language proficiency (Version 1),"2,300",2300,439
255,2023-07-06,"July 6, 2023","July 06, 2023 14:25:05 UTC",Healthcare occupations (Version 1),"1,500",1500,463
254,2023-07-05,"July 5, 2023","July 05, 2023 13:38:22 UTC",STEM occupations (Version 1),500,500,486
253,2023-07-04,"July 4, 2023","July 04, 2023 14:23:38 UTC",No Program Specified,700,700,511
252,2023-06-28,"June 28, 2023","June 28, 2023 14:04:34 UTC",Healthcare occupations (Version 1),500,500,476
251,2023-06-27,"June 27, 2023","June 27, 2023 15:37:46 UTC",No Program Specified,"4,300",4300,486
250,2023-06-08,"June 8, 2023","June 08, 2023 12:08:58 UTC",No Program Specified,"4,800",4800,486
249,2023-05-24,"May 24, 2023","May 24, 2023 14:23:06 UTC",No Program Specified,"4,800",4800,488
248,2023-05-10,"May 10, 2023","May 10, 2023 at 14:06:47 UTC",Provincial Nominee Program,589,589,691
247,2023-04-26,"April 26, 2023","April 26,2023 18:10:04 UTC",No Program Specified,"3,500",3500,483
246,2023-04-12,"April 12, 2023","April 12, 2023 14:12:15 UTC",No Program Specified,"3,500",3500,486
245,2023-03-29,"March 29, 2023","March 29, 2023 13:44:01 UTC",No Program Specified,"7,000",7000,481
244,2023-03-23,"March 23, 2023","March 23,2023 12:27:59 UTC",No Program Specified,"7,000",7000,484
243,2023-03-15,"March 15, 2023","March 15, 2023 17:08:16 UTC",No Program Specified,"7,000",7000,490
242,2023-03-01,"March 1, 2023","March 01, 2023, at 17:24:39 UTC",Provincial Nominee Program,667,667,748
241,2023-02-15,"February 15, 2023","February 15, 2023, at 16:13:27 UTC",Provincial Nominee Program,699,699,791
240,2023-02-02,"February 2, 2023","February 02, 2023, at 15:12:01 UTC",Federal Skilled Worker,"3,300",3300,489
239,2023-02-01,"February 1, 2023","February 01, 2023, at 16:05:57 UTC",Provincial Nominee Program,893,893,733
238,2023-01-18,"January 18, 2023","January 18, 2023 16:13:57 UTC",No Program Specified,"5,500",5500,490
237,2023-01-11,"January 11, 2023","January 11, 2023 16:14:19 UTC",No Program Specified,"5,500",5500,507
236,2022-11-23,"November 23, 2022","November 23, 2022 15:42:46 UTC",No Program Specified,"4,750",4750,491
235,2022-11-09,"November 9, 2022","November 09, 2022 14:21:26 UTC",No Program Specified,"4,750",4750,494
234,2022-10-26,"October 26, 2022","October 26, 2022 13:05:36 UTC",No Program Specified,"4,750",4750,496
233,2022-10-12,"October 12, 2022","October 12, 2022 14:13:11 UTC",No Program Specified,"4,250",4250,500
232,2022-09-28,"September 28, 2022","September 28, 2022 at 13:52:35 UTC",No Program Specified,"3,750",3750,504
231,2022-09-14,"September 14, 2022","September 14, 2022 at 13:29:26 UTC",No Program Specified,"3,250",3250,510
230,2022-08-31,"August 31, 2022","August 31, 2022 at 13:55:23 UTC",No Program Specified,"2,750",2750,516
229,2022-08-17,"August 17, 2022","August 17, 2022 at 13:43:47 UTC",No Program Specified,"2,250",2250,525
228,2022-08-03,"August 3, 2022","August 03, 2022 at 15:16:24 UTC",No Program Specified,"2,000",2000,533
227,2022-07-20,"July 20, 2022","July 20, 2022 at 16:32:49 UTC",No Program Specified,"1,750",1750,542
226,2022-07-06,"July 6, 2022","July 6, 2022 at 14:34:34 UTC",No Program Specified,"1,500",1500,557
225,2022-06-22,"June 22, 2022","June 22, 2022 at 14:13:57 UTC",Provincial Nominee Program,636,636,752
224,2022-06-08,"June 8, 2022","June 08, 2022 at 14:03:28 UTC",Provincial Nominee Program,932,932,796
223,2022-05-25,"May 25, 2022","May 25, 2022 at 13:21:23 UTC",Provincial Nominee Program,590,590,741
222,2022-05-11,"May 11, 2022","May 11, 2022 at 14:08:07 UTC",Provincial Nominee Program,545,545,753
221,2022-04-27,"April 27, 2022","April 27, 2022 16:04:21 UTC",Provincial Nominee Program,829,829,772
220,2022-04-13,"April 13, 2022","April 13, 2022 at 14:13:01 UTC",Provincial Nominee Program,787,787,782
219,2022-03-30,"March 30, 2022","March 30, 2022 at 15:41:09 UTC",Provincial Nominee Program,919,919,785
218,2022-03-16,"March 16, 2022","March 16, 2022 at 14:59:09 UTC",Provincial Nominee Program,924,924,754
217,2022-03-02,"March 2, 2022","March 02, 2022 at 14:05:52 UTC",Provincial Nominee Program,"1,047",1047,761
216,2022-02-16,"February 16, 2022","February 16, 2022 at 14:36:05 UTC",Provincial Nominee Program,"1,082",1082,710
215,2022-02-02,"February 2, 2022",February 02 2022 at 14:16:27 UTC,Provincial Nominee Program,"1,070",1070,674
214,2022-01-19,"January 19, 2022","January 19, 2022 at 14:39:22 UTC",Provincial Nominee Program,"1,036",1036,745
213,2022-01-05,"January 5, 2022","January 05, 2022 at 15:50:48 UTC",Provincial Nominee Program,392,392,808
212,2021-12-22,"December 22, 2021","December 22, 2021 at 16:27:24 UTC",Provincial Nominee Program,746,746,720
211,2021-12-10,"December 10, 2021","December 10, 2021 at 13:53:48 UTC",Provincial Nominee Program,"1,032",1032,698
210,2021-11-24,"November 24, 2021","November 24, 2021 at 14:01:44 UTC",Provincial Nominee Program,613,613,737
209,2021-11-10,"November 10, 2021","November 10, 2021 at 17:02:21 UTC",Provincial Nominee Program,775,775,685
208,2021-10-27,"October 27, 2021","October 27, 2021 at 13:32:26 UTC",Provincial Nominee Program,681,681,744
207,2021-10-13,"October 13, 2021","October 13, 2021 at 13:13:38 UTC",Provincial Nominee Program,681,681,720
206,2021-09-29,"September 29, 2021","September 29, 2021 at 13:17:49 UTC",Provincial Nominee Program,761,761,742
205,2021-09-15,"September 15, 2021","September 15, 2021 at 14:59:17 UTC",Provincial Nominee Program,521,521,732
204,2021-09-14,"September 14, 2021","September 14, 2021 at 13:06:02 UTC",Canadian Experience Class,"2,000",2000,462
203,2021-09-01,"September 1, 2021","September 01, 2021 at 13:34:47 UTC",Provincial Nominee Program,635,635,764
202,2021-08-19,"August 19, 2021","August 19, 2021 at 13:25:22 UTC",Canadian Experience Class,"3,000",3000,403
201,2021-08-18,"August 18, 2021","August 18, 2021 at 14:10:39 UTC",Provincial Nominee Program,463,463,751
200,2021-08-05,"August 5, 2021","August 5, 2021 at 13:11:37 UTC",Canadian Experience Class,"3,000",3000,404
199,2021-08-04,"August 4, 2021","August 4, 2021 at 13:33:36 UTC",Provincial Nominee Program,512,512,760
198,2021-07-22,"July 22, 2021","July 22, 2021 at 14:02:32 UTC",Canadian Experience Class,"4,500",4500,357
197,2021-07-21,"July 21, 2021","July 21, 2021 at 13:01:45 UTC",Provincial Nominee Program,462,462,734
196,2021-07-08,"July 8, 2021","July 08, 2021 at 14:02:45 UTC",Canadian Experience Class,"4,500",4500,369
195,2021-07-07,"July 7, 2021","July 7, 2021 at 13:17:37 UTC",Provincial Nominee Program,627,627,760
194,2021-06-24,"June 24, 2021","June 24, 2021 at 14:39:59 UTC",Canadian Experience Class,"6,000",6000,357
193,2021-06-23,"June 23, 2021","June 23, 2021 at 15:41:38 UTC",Provincial Nominee Program,"1,002",1002,742
192,2021-06-10,"June 10, 2021","June 10, 2021 at 12:29:11 UTC",Canadian Experience Class,"6,000",6000,368
191,2021-06-09,"June 9, 2021","June 09, 2021 at 13:16:30 UTC",Provincial Nominee Program,940,940,711
190,2021-05-31,"May 31, 2021","May 31, 2021 at 13:19:23 UTC",Canadian Experience Class,"5,956",5956,380
189,2021-05-26,"May 26, 2021","May 26, 2021 at 10:41:44 UTC",Provincial Nominee Program,500,500,713
188,2021-05-20,"May 20, 2021","May 20, 2021 at 10:10:54 UTC",Canadian Experience Class,"1,842",1842,397
187,2021-05-13,"May 13, 2021","May 13, 2021 at 16:50:04 UTC",Canadian Experience Class,"4,147",4147,401
186,2021-05-12,"May 12, 2021","May 12, 2021 at 10:28:53 UTC",Provincial Nominee Program,557,557,752
185,2021-04-29,"April 29, 2021","April 29, 2021 at 10:34:05 UTC",Canadian Experience Class,"6,000",6000,400
184,2021-04-28,"April 28, 2021","April 28, 2021 at 11:00:02 UTC",Provincial Nominee Program,381,381,717
183,2021-04-16,"April 16, 2021","April 16, 2021 at 21:35:52 UTC",Canadian Experience Class,"6,000",6000,417
182,2021-04-14,"April 14, 2021","April 14, 2021 at 11:01:51 UTC",Provincial Nominee Program,266,266,753
181,2021-04-01,"April 1, 2021","April 1, 2021 at 11:04:53 UTC",Canadian Experience Class,"5,000",5000,432
180,2021-03-31,"March 31, 2021","March 31, 2021 at 11:21:22 UTC",Provincial Nominee Program,284,284,778
179,2021-03-18,"March 18, 2021","March 18, 2021 at 11:30:56 UTC",Canadian Experience Class,"5,000",5000,449
178,2021-03-17,"March 17, 2021","March 17, 2021 at 11:49:48 UTC",Provincial Nominee Program,183,183,682
177,2021-03-08,"March 8, 2021","March 08, 2021 at 13:53:21 UTC",Provincial Nominee Program,671,671,739
176,2021-02-13,"February 13, 2021","February 13, 2021 at 11:56:56 UTC",Canadian Experience Class,"27,332",27332,75
175,2021-02-10,"February 10, 2021","February 10, 2021 at 14:31:18 UTC",Provincial Nominee Program,654,654,720
174,2021-01-21,"January 21, 2021","January 21, 2021 at 14:22:20 UTC",Canadian Experience Class,"4,626",4626,454
173,2021-01-20,"January 20, 2021","January 20, 2021 at 14:13:12 UTC",Provincial Nominee Program,374,374,741
172,2021-01-07,"January 7, 2021","January 7, 2021 at 14:15:32 UTC",Canadian Experience Class,"4,750",4750,461
171,2021-01-06,"January 6, 2021","January 6, 2021 at 14:39:02 UTC",Provincial Nominee Program,250,250,813
170,2020-12-23,"December 23, 2020","December 23, 2020 at 14:40:08 UTC",No Program Specified,"5,000",5000,468
169,2020-12-09,"December 9, 2020","December 9, 2020 at 14:30:47 UTC",No Program Specified,"5,000",5000,469
168,2020-11-25,"November 25, 2020","November 25, 2020 at 13:04:56 UTC",No Program Specified,"5,000",5000,469
167,2020-11-18,"November 18, 2020","November 18, 2020 at 15:27:32 UTC",No Program Specified,"5,000",5000,472
166,2020-11-05,"November 5, 2020","November 5, 2020 at 12:17:58 UTC",No Program Specified,"4,500",4500,478
165,2020-10-14,"October 14, 2020","October 14, 2020 at 13:03:22 UTC",No Program Specified,"4,500",4500,471
